area,rooms,bathroom,parking spaces,floor,animal,furniture,hoa (R$),rent amount (R$),property tax (R$),fire insurance (R$),total (R$),city_pos_0,city_pos_1,city_pos_2,city_pos_3,city_pos_4
70,2,1,1,7,1,1,2065,3300,211,42,5618,0,0,0,0,1
320,4,4,0,20,1,0,1200,4960,1750,63,7973,0,0,0,0,1
80,1,1,1,6,1,0,1000,2800,0,41,3841,0,0,1,0,0
51,2,1,0,2,1,0,270,1112,22,17,1421,0,0,1,0,0
25,1,1,0,1,0,0,0,800,25,11,836,0,0,0,0,1
376,3,3,7,0,1,0,0,8000,834,121,8955,0,0,0,0,1
72,2,1,0,7,1,0,740,1900,85,25,2750,0,0,0,1,0
213,4,4,4,4,1,0,2254,3223,1735,41,7253,0,0,0,0,1
152,2,2,1,3,1,1,1000,15000,250,191,16440,0,0,0,0,1
35,1,1,0,2,1,1,590,2300,35,30,2955,0,0,0,1,0
26,1,1,0,2,1,1,470,2100,150,27,2747,0,0,0,0,1
46,1,1,1,10,1,0,550,580,43,8,1181,0,1,0,0,0
36,1,1,0,11,1,0,359,2100,70,27,2556,0,0,0,0,1
55,1,1,1,2,1,1,790,4200,224,54,5268,0,0,0,0,1
100,2,2,2,24,1,1,900,4370,17,56,5343,0,0,0,0,1
330,4,6,6,0,1,1,680,8000,328,121,9129,0,1,0,0,0
110,2,2,1,1,1,0,700,3000,122,39,3861,0,0,0,0,1
88,2,3,1,9,0,1,1614,3500,221,16,5351,0,0,0,1,0
56,2,1,0,8,1,0,800,1220,0,16,2036,0,0,0,1,0
600,4,5,6,0,1,0,0,12000,9500,181,21680,0,0,0,0,1
100,7,4,0,0,1,0,0,3800,118,58,3976,0,0,0,0,1
42,1,1,1,17,0,1,470,2690,172,36,3368,1,0,0,0,0
160,3,2,2,18,1,1,1530,1900,167,25,3622,0,0,0,0,1
35,1,1,0,0,1,0,0,1100,3,14,1117,0,0,0,0,1
90,3,2,1,7,1,0,800,1800,118,24,2742,0,0,0,1,0
49,1,1,1,10,1,0,480,3500,42,45,4067,0,0,0,0,1
41,1,1,1,5,0,1,600,3000,0,39,3639,0,0,0,0,1
64,2,2,1,11,1,0,352,1500,80,20,1952,1,0,0,0,0
208,3,2,4,0,1,0,0,3180,100,48,3328,0,1,0,0,0
20,1,1,0,5,1,1,602,1800,130,23,2555,0,0,0,0,1
55,2,2,2,6,1,0,780,1068,142,14,2004,0,0,0,0,1
32,1,1,0,3,1,0,515,1700,29,22,2266,0,0,0,0,1
80,2,2,1,11,1,0,1208,2550,216,33,4007,0,0,0,0,1
45,1,1,1,10,1,1,2450,2500,593,33,5576,0,0,0,1,0
350,4,4,3,8,1,0,2100,4000,500,51,6651,0,0,0,0,1
38,1,1,2,11,0,0,450,1750,0,26,2226,0,0,1,0,0
30,1,1,0,1,1,0,460,1600,0,21,2081,0,0,0,0,1
80,3,2,1,0,1,0,0,11000,425,181,11610,1,0,0,0,0
