mean_test_root_mean_squared_error,mean_test_mean_squared_error,mean_test_mean_absolute_error,mean_test_r2_error,params
2609.0126976433485,6811099.15001117,1585.2508929154508,0.66719511597312,"{'svr__C': 3000, 'svr__gamma': 'auto', 'svr__kernel': 'rbf'}"
2609.012699170053,6811099.15821753,1585.2508953884837,0.6671951155862127,"{'svr__C': 3000, 'svr__gamma': 'scale', 'svr__kernel': 'rbf'}"
2636.477729084365,6955314.636081216,1596.2304238955594,0.6601550582527494,"{'svr__C': 1000, 'svr__gamma': 'auto', 'svr__kernel': 'rbf'}"
2636.4777335606973,6955314.659600061,1596.2304263188391,0.6601550570976882,"{'svr__C': 1000, 'svr__gamma': 'scale', 'svr__kernel': 'rbf'}"
2776.905862717051,7724829.323720784,1660.7954204531623,0.6229048804497519,"{'svr__C': 3000, 'svr__gamma': 'scale', 'svr__kernel': 'poly'}"
2776.9058699744187,7724829.36712237,1660.7954218119864,0.6229048784219734,"{'svr__C': 3000, 'svr__gamma': 'auto', 'svr__kernel': 'poly'}"
2816.031942828864,7943857.750199496,1685.499629134413,0.6122260031546852,"{'svr__C': 1000, 'svr__gamma': 'auto', 'svr__kernel': 'poly'}"
2816.0319428288676,7943857.750199522,1685.4996291344169,0.6122260031546839,"{'svr__C': 1000, 'svr__gamma': 'scale', 'svr__kernel': 'poly'}"
2829.851545029293,8015197.157397595,1733.9832709403636,0.608477930179276,"{'svr__C': 3000, 'svr__gamma': 'auto', 'svr__kernel': 'linear'}"
2829.851545029293,8015197.157397595,1733.9832709403636,0.608477930179276,"{'svr__C': 3000, 'svr__gamma': 'scale', 'svr__kernel': 'linear'}"
2830.062486564688,8016352.665017131,1734.0002633532706,0.6084197161342876,"{'svr__C': 1000, 'svr__gamma': 'scale', 'svr__kernel': 'linear'}"
2830.062486564688,8016352.665017131,1734.0002633532706,0.6084197161342876,"{'svr__C': 1000, 'svr__gamma': 'auto', 'svr__kernel': 'linear'}"
2830.3280388567778,8017722.619542108,1733.9693352818797,0.6083468804156755,"{'svr__C': 100, 'svr__gamma': 'scale', 'svr__kernel': 'linear'}"
2830.3280388567778,8017722.619542108,1733.9693352818797,0.6083468804156755,"{'svr__C': 100, 'svr__gamma': 'auto', 'svr__kernel': 'linear'}"
2844.3199646940725,8097424.044112161,1737.472630752701,0.6044643193560524,"{'svr__C': 10, 'svr__gamma': 'scale', 'svr__kernel': 'linear'}"
2844.3199646940725,8097424.044112161,1737.472630752701,0.6044643193560524,"{'svr__C': 10, 'svr__gamma': 'auto', 'svr__kernel': 'linear'}"
2919.7752443193217,8529566.742345693,1724.5923497879423,0.583182559900954,"{'svr__C': 100, 'svr__gamma': 'scale', 'svr__kernel': 'rbf'}"
2919.775244319324,8529566.742345704,1724.5923497879446,0.5831825599009536,"{'svr__C': 100, 'svr__gamma': 'auto', 'svr__kernel': 'rbf'}"
3057.6576011887105,9356952.914566651,1830.4156874783648,0.5429044390610865,"{'svr__C': 1, 'svr__gamma': 'auto', 'svr__kernel': 'linear'}"
3057.6576011887105,9356952.914566651,1830.4156874783648,0.5429044390610865,"{'svr__C': 1, 'svr__gamma': 'scale', 'svr__kernel': 'linear'}"
3169.55762146043,10053562.484844228,1882.979091189008,0.5088378680285153,"{'svr__C': 10, 'svr__gamma': 'auto', 'svr__kernel': 'sigmoid'}"
3169.5576214604334,10053562.48484425,1882.9790911890107,0.508837868028514,"{'svr__C': 10, 'svr__gamma': 'scale', 'svr__kernel': 'sigmoid'}"
3187.262538669384,10173155.115621507,1895.1078901234052,0.5032927639056682,"{'svr__C': 100, 'svr__gamma': 'auto', 'svr__kernel': 'poly'}"
3187.2625386693894,10173155.115621544,1895.1078901234116,0.5032927639056665,"{'svr__C': 100, 'svr__gamma': 'scale', 'svr__kernel': 'poly'}"
3731.82349083535,13931977.818582132,2257.273526974128,0.3190697948285985,"{'svr__C': 10, 'svr__gamma': 'auto', 'svr__kernel': 'poly'}"
3731.8234908353584,13931977.818582192,2257.273526974137,0.3190697948285957,"{'svr__C': 10, 'svr__gamma': 'scale', 'svr__kernel': 'poly'}"
3800.2630538921753,14446237.861204185,2221.902266471969,0.29381427575929636,"{'svr__C': 10, 'svr__gamma': 'scale', 'svr__kernel': 'rbf'}"
3800.263053892178,14446237.861204201,2221.9022664719714,0.29381427575929553,"{'svr__C': 10, 'svr__gamma': 'auto', 'svr__kernel': 'rbf'}"
4129.546298372536,17059746.877016883,2537.115849226266,0.16619150317598327,"{'svr__C': 0.1, 'svr__gamma': 'scale', 'svr__kernel': 'linear'}"
4129.546298372536,17059746.877016883,2537.115849226266,0.16619150317598327,"{'svr__C': 0.1, 'svr__gamma': 'auto', 'svr__kernel': 'linear'}"
4156.225498984139,17279486.350562397,2799.694536107812,0.1553160631990025,"{'svr__C': 100, 'svr__gamma': 'scale', 'svr__kernel': 'sigmoid'}"
4156.225498984162,17279486.35056259,2799.694536107829,0.15531606319899316,"{'svr__C': 100, 'svr__gamma': 'auto', 'svr__kernel': 'sigmoid'}"
4290.839443196823,18417429.271679558,2668.784640803095,0.09976218919728164,"{'svr__C': 1, 'svr__gamma': 'auto', 'svr__kernel': 'sigmoid'}"
4290.839443196825,18417429.271679576,2668.784640803097,0.09976218919728075,"{'svr__C': 1, 'svr__gamma': 'scale', 'svr__kernel': 'sigmoid'}"
4378.695196097074,19180252.483427275,2800.8067504115656,0.06253434534125173,"{'svr__C': 1, 'svr__gamma': 'auto', 'svr__kernel': 'poly'}"
4378.69519609708,19180252.48342733,2800.80675041157,0.06253434534124902,"{'svr__C': 1, 'svr__gamma': 'scale', 'svr__kernel': 'poly'}"
4635.310501369257,21491548.568784203,2949.9352035479897,-0.050638855725541644,"{'svr__C': 1, 'svr__gamma': 'auto', 'svr__kernel': 'rbf'}"
4635.310501369257,21491548.568784196,2949.9352035479897,-0.05063885572554142,"{'svr__C': 1, 'svr__gamma': 'scale', 'svr__kernel': 'rbf'}"
4746.4045294722755,22534020.689815875,3079.5118229024088,-0.1016044352042645,"{'svr__C': 0.1, 'svr__gamma': 'auto', 'svr__kernel': 'poly'}"
4746.404529472277,22534020.68981589,3079.5118229024097,-0.1016044352042651,"{'svr__C': 0.1, 'svr__gamma': 'scale', 'svr__kernel': 'poly'}"
4750.000743341224,22567941.789700106,3069.128537573755,-0.10328384572507636,"{'svr__C': 0.1, 'svr__gamma': 'auto', 'svr__kernel': 'sigmoid'}"
4750.000743341225,22567941.789700106,3069.1285375737552,-0.10328384572507643,"{'svr__C': 0.1, 'svr__gamma': 'scale', 'svr__kernel': 'sigmoid'}"
4789.679501442047,22946421.14404897,3104.2673774402588,-0.12179882284337995,"{'svr__C': 0.1, 'svr__gamma': 'scale', 'svr__kernel': 'rbf'}"
4789.679501442047,22946421.14404897,3104.2673774402588,-0.12179882284337995,"{'svr__C': 0.1, 'svr__gamma': 'auto', 'svr__kernel': 'rbf'}"
43554.57006529637,1897276255.4432724,24688.382782813616,-91.86812641569014,"{'svr__C': 1000, 'svr__gamma': 'scale', 'svr__kernel': 'sigmoid'}"
43554.57006529693,1897276255.4433203,24688.382782813915,-91.86812641569243,"{'svr__C': 1000, 'svr__gamma': 'auto', 'svr__kernel': 'sigmoid'}"
126563.85246868462,16020590119.423014,73497.7391162339,-782.636607340508,"{'svr__C': 3000, 'svr__gamma': 'scale', 'svr__kernel': 'sigmoid'}"
126563.8524686863,16020590119.423439,73497.73911623484,-782.6366073405283,"{'svr__C': 3000, 'svr__gamma': 'auto', 'svr__kernel': 'sigmoid'}"
